,Company,Salary,JobTitle,Location,Job Description,Rating,Industry,Size,Founded,Revenue,hourly,Employer provided,Min_Salary,Max_Salary,Average Salary,Job_State,Job_City,age,Python,r_Studio,Spark,aws,excel
13,AIDT,$60K - $86K (Employer est.),Data Science Specialist - Office of Education & Workforce Statistics,"Montgomery, AL","AIDT and the Alabama Department of Commerce in Montgomery, AL are seeking applicants for a full-time Office of Education & Workforce Statistics - Data Science Specialist.
($59,750 - $85,817)
ANNOUNCEMENT DATE: March 24, 2023
APPLICATION DEADLINE: April 14, 2023
PROJECTED START DATE: June 3, 2023
All resumes (mailed or electronic) must be received no later than 1:00 p.m. on April 14, 2023 to be considered. Successful applicants will be notified by email.
SYNOPSIS



Show More
Report",4.3,Government,51 to 200 Employees,1971,$25 to $100 million (USD),0,1,60.0,86.0,73.0, AL,Montgomery,52,0,0,0,0,0
14,Snohomish County PUD No.1,$76K - $178K (Employer est.),"Senior Utility Analyst, Principal Utility Analyst or Data Scientist (DOQ)","Everett, WA","We are currently accepting applications for the following position:
Senior Utility Analyst, Principal Utility Analyst or Data Scientist (DOQ)
Job #15308
$76,107 - $178,208
Basic Responsibilities
Performs research, presents materials, and executes solutions in the areas of rates, load forecasting, and energy risk management. Progressive responsibilities include data gathering, cost of service analyses, ratemaking, deep understanding of large data sets and systems, data science, econometrics, other predictive analytics, and financial risk management skills as applied to the wholesale energy market. Represents the District regarding these and other analytical issues before regulatory agencies and business associations, often in public forums.
Minimum Qualifications


Show More
Report",4.0,Government,501 to 1000 Employees,1936,$500 million to $1 billion (USD),0,1,76.0,178.0,127.0, WA,Everett,87,0,0,0,0,0
15,Millennial Software,$100K - $200K (Employer est.),Data Scientist TS/SCI with Poly - $200k + 15% 401k,"Chantilly, VA","Title: Data Scientist (TS/SCI with Poly)
Location: Chantilly, VA
Base Salary: $100,000.00 - $200,000.00 per year
15% Employer 401k contribution (Regardless of Employee Contribution)
PTO: 30 days annual total
Stock Option
$3000 annual training budget
Medical/Dental/Vision: company funded, cash incentives if you waive
Flexible work schedule
Referral bonuses
Paid Paternal and Maternal Leave

Show More
Report",-1.0,Unknown / Non-Applicable,Unknown,Company - Public,-1,0,1,100.0,200.0,150.0, VA,Chantilly,-1,0,0,0,0,0
17,Clinvia LLC,$70K (Employer est.),Statistical Programmer,"Frisco, TX","Hiring Statistical Programmer to support Statistical programming activities.
Role provides Statistical programming and Tableau development support to data science and reporting team. Interesting fast paced data mining project.
ESSENTIAL DUTIES AND RESPONSIBILITIES:
Two years experience in SAS programming and Reporting
Design, develop and program Tableau Dashboards including user interface
Able to work independently with minimum supervision
Multitask and able to work in fast paced, matrix environment
Show More
Report",-1.0,-1,-1,-1,-1,0,1,70.0,70.0,70.0, TX,Frisco,-1,0,0,0,0,0
18,Signal Systems Corporation,$100K - $159K (Employer est.),Machine Learning Engineer,"Millersville, MD","Signal Systems Corporation (SSC) is searching for Machine Learning Engineers to support the development of next generation sonar systems and sonar signal processing algorithms for a range of underwater applications. SSC has a 25-year history of leveraging its institutional and individual expertise in distributed acoustic sensors, active noise control, acoustic surveillance, machine learning, audio enhancement and interference rejection to provide innovative engineering solutions for both government and commercial customers.
Job Description/Responsibilities:
Design and develop machine learning and supporting signal processing algorithms for detection, estimation, and classification on active and passive acoustic sensor data.
Build large datasets, test machine learning models, and incorporate trained models into larger software products.
Collaborate with experts in physics-based modeling, signal and image processing, machine learning, and embedded software engineering to develop cross-disciplinary solutions.
Show More
Report",-1.0,-1,-1,-1,-1,0,1,100.0,159.0,129.5, MD,Millersville,-1,0,0,0,0,0
20,"Axiom Consultants, Inc.",$73K - $108K (Glassdoor est.),Data Assimilation Scientist,"College Park, MD","Axiom is looking for a candidate to support the Environmental Modeling Center (EMC) of the National Centers for Environmental Prediction (NCEP) in carrying out research, development, and operational transition work related to satellite data assimilation for future operational applications of the Unified Forecast System (UFS). The candidate's work will involve the development, execution, testing, and evaluation of the direct assimilation of satellite radiances for use in operational environmental prediction capabilities at NCEP. The work location is at the NOAA Center for Weather and Climate Prediction (NCWCP) in College Park, MD.
Responsibilities
The candidate will perform the job duties in a collaborative environment, assisting developing and applying innovative methods for the primary work areas described below. The candidate will work with EMC scientists and external collaborators to develop satellite radiance data assimilation capabilities for use in applications of the UFS, with emphasis on global numerical weather prediction for the medium range weather application. In particular, the radiance assimilation component will utilize the Community Radiative Transfer Model (CRTM). Future assimilation related developments will leverage and contribute to the Joint Center for Satellite Data Assimilation, including the Joint Effort for Data assimilation Integration (JEDI) project.
Show More
Report",3.0,Unknown / Non-Applicable,1 to 50 Employees,Contract,-1,0,0,73.0,108.0,90.5, MD,College Park,-1,0,0,0,0,0
22,"Draeger Medical Systems, Inc.",$70K - $94K (Glassdoor est.),Senior Quality Data Analyst,"Andover, MA","FIRST SHIFT - Draeger Medical Systems, Inc. - Job-ID V000007415
Andover
Vollzeit

The Job Responsibilities
Develops and implements tools and techniques resulting in recommendations that enable leadership to make data-based decisions; including selection of report architecture and most appropriate modeling and data visualization techniques.
Compiles, analyzes, and effectively presents quality data trending reports to identify opportunities that increase efficiency, ensure quality and decrease cost and meet the need of various internal customers, such as Clinical Engineering, Risk Management and PMS.
Develops, maintains and presents Quality Metrics to CFT/PSB and the Andover Management Team. Maintains a thorough knowledge of new developments, technology and processes. Must be able to create charts (Pareto, 80/20 - Predictive, etc.) and analyze data.












Tiffany Faulhefer
tiffany.faulhefer.contractor@draeger.com
Show More
Report",3.8,Company - Public,10000+ Employees,1889,$1 to $5 billion (USD),0,0,70.0,94.0,82.0, MA,Andover,134,0,0,0,0,0
23,"Sysdata Consulting, Inc",$100.00 Per Hour(Employer est.),Contract Senior Statistical Programmer (Remote),Remote,"We are helping a small pharmaceutical company for a senior contract statistical programmer position. The rate is very competitive.
Job Summary:
· Provide oversight for CROs deliveries including SDTM, ADaMs, TFLs, DMC, DSUR, interim analysis, final CSR analysis
· Provide programming support for internal production deliveries including SDTM, ADaMs, TFLs, DMC, DSUR, interim analysis, final CSR analysis
· Provide infrastructure support for internal programming team: set up and maintain standard directory, author technical user guides for utilities, draft good programming practices and department SOPs, make training materials for junior/new programmers
Show More
Report",-1.0,-1,-1,-1,-1,1,1,100.0,100.0,100.0,Remote,Remote,-1,0,0,0,0,0
25,"Synchron, LLC",$96K - $130K (Glassdoor est.),Senior Data Analyst - Chief of Naval Operations (OPNAV),"Washington, DC","Synchron is seeking a qualified candidate to support the Navy’s OPNAV N81 Division. The Senior Data Analyst will assist N81 with responsibilities inherent within the OPNAV PPBE process as it pertains to N81. The N81 Assessment Division is responsible for providing the CNO with analytic capabilities to evaluate the relative capabilities, effectiveness, costs and risks of alternative programs and proposals. The Division provides advice to senior Navy leadership on all programmatic and policy issues and helps to structure the decision-making process. The Director serves as an independent assessor providing a broad-view perspective across the Navy staff apart from Resource Sponsors, with an integrated look at both war fighting and war fighting support programs. The Senior Data Analyst will assist in the development and balancing of Navy equities throughout the DoN Program Objective Memorandum (POM) process and with the annual DoD budget submitted to Congress.
The Senior Data Analyst shall:
Have experience serving in the Navy or within the OPNAV staff.








Show More
Report",4.1,$1 to $5 million (USD),1 to 50 Employees,Company - Private,-1,0,0,96.0,130.0,113.0, DC,Washington,-1,0,0,0,0,0
28,Behavioral Health Group,$59K - $85K (Glassdoor est.),Senior Financial Data Analyst,"Dallas, TX","Senior Financial Analyst
Who We Are
We are a team that is focused on patient care and quality. Behavioral Health Group (BHG), is a leading provider of opioid addiction treatment services. BHG provides medication assisted treatment and counseling services in a conventional outpatient setting. At BHG, we are committed to the belief that addiction is a brain disease, not a moral failing. We believe that with hope, respect, and caring, real recovery is possible.
Why work at BHG?
We grow better together! At BHG we believe in investing in our team members and growing careers through role-based training and promotional opportunities. Join our team members and thrive in our people first culture that is rooted in diversity and inclusion and offers many other tangible opportunities such as:
Show More
Report",2.7,Company - Private,1001 to 5000 Employees,2006,Unknown / Non-Applicable,0,0,59.0,85.0,72.0, TX,Dallas,17,0,0,0,0,0
29,Physician's Weekly,$75K - $90K (Employer est.),Senior Data Analyst,"Basking Ridge, NJ","Senior Data Analyst
Physician’s Weekly, a leading medical news service and custom healthcare publishing company for doctors and their staff, is seeking a Senior Data Analyst to join our Basking Ridge, NJ based data team. In this critical position, the Senior Data Analyst will handle post-sale fulfilment both for our print and digital contracts. We are looking for a competent individual who can coordinate with multiple teams to manage our print inventory to accurately allocate available inventory for signed contracts and report the remaining availability. In addition, you must prepare the email lists necessary to fulfill contracts related to our client’s email campaigns. Your job is important since the efficient handling of the company’s products and services is critical for the attainment of business goals. The role requires a technically savvy individual who is curious about the larger strategic picture and who thinks creatively on how best to answer critical business questions with the data available. This is a high-paced role and requires the ability to stay focused while handling multiple projects under tight deadlines.
Essential Functions
Show More
Report",-1.0,-1,-1,-1,-1,0,1,75.0,90.0,82.5, NJ,Basking Ridge,-1,0,0,0,0,0
30,Etainement,$75K - $110K (Employer est.),Senior Data Analyst,"Raleigh, NC","Etainement is a leader in live event ticket pricing, data, and distribution. We trade live event tickets, including concerts, sports, and theatre across multiple online marketplaces using data and proprietary technology.
We are looking for passionate, innovative, and driven people who want to be part of our growing company. We are actively expanding our inventory acquisition team, and we are looking for an Analyst to join our team assisting in developing inventory acquisition strategies using our internal software tools and proprietary data.
https://etainement.co/
Etainement is seeking a Senior Data Analyst for its expanding technology and analytics team. As a Senior Data Analyst, you must have a proven history of building and delivering compelling and actionable data visualizations that impact critical business decisions. You must be skilled in database querying and dashboard creation with diverse data sources. You should be enthusiastic about data and proficient in various tools to deliver precise results. You should have experience supporting data visualization and analytics for multiple departments, possessing a comprehensive understanding of the business to provide scalable dashboards that drive success. You are a team player, who excels in fast-paced environments and collaborating with cross-functional teams.
Show More
Report",-1.0,-1,-1,-1,-1,0,1,75.0,110.0,92.5, NC,Raleigh,-1,0,0,0,0,1
31,LegalMatch,$50K - $70K (Employer est.),Predictive Analytics Modeler,"Reno, NV","The Predictive Analytics Modeler will focus on developing solutions throughout the organization to help drive strategic decisions for operations. The modeler will work on a wide variety of challenges which include solutions for all aspects of website success. In addition to standard forms of advanced analytics, the modeler will also explore the development of predictive models with machine learning and artificial intelligence.
Essential Duties and Responsibilities:
Develops and maintains predictive analytics/modeling efforts and uses of analytics/modeling programs.
Designs models, coordinates data pulls, prepares/validates data, performs and validates the modeling and analysis, effectively communicates findings and provides actionable recommendations.
Collaborates with IT and business units to oversee implementation of work efforts and provides input to help design, monitor, and improve data structures and data warehouses.
Performs research of various areas of the company, including underwriting, claims and sales through the use of predictive modeling.
Show More
Report",3.7,Company - Private,51 to 200 Employees,1999,$25 to $100 million (USD),0,1,50.0,70.0,60.0, NV,Reno,24,0,0,0,0,0
33,Black Sesame Technologies Inc,$96K - $144K (Glassdoor est.),Senior AI Perception Algorithm Engineer/Scientist,"San Jose, CA","The selected candidate will work closely with top researchers to develop cutting-edge perception algorithms to address real-world problems. The task of perception is to detect and understand the surrounding environment of the autonomous vehicles, to support L2 and L3 automated driving features. A real time virtual representation of the local environment is constructed by processing input data mainly from cameras, together with those from other sensors like radars, IMU and ultrasonic.
Responsibilities:
o Develop deep learning based perception algorithms, including object detection, lane detection, segmentation, depth estimation, and so on.
o Develop state of the art network structures and training schemes, and evaluate their performance on vision problems
Show More
Report",2.5,Enterprise Software & Network Solutions,Unknown,Company - Public,-1,0,0,96.0,144.0,120.0, CA,San Jose,-1,0,0,0,0,0
36,Pinterest,$134K - $192K (Glassdoor est.),"Data Scientist, Ecosystem","San Francisco, CA","About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Our new progressive work model is called PinFlex, a term that's uniquely Pinterest to describe our flexible approach to living and working. Visit our PinFlex landing page to learn more.
As a Data Scientist you will shape the future of people-facing and business-facing products we build at Pinterest. Your expertise in quantitative modeling, experimentation and algorithms will be utilized to solve some of the most complex engineering challenges at the company. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Design, Research, Product Analytics, Data Engineering and others. The results of your work will influence and uplevel our product development teams while introducing greater scientific rigor into the real world products serving hundreds of millions of pinners, creators, advertisers and merchants around the world.
Show More
Report",4.0,Company - Public,1001 to 5000 Employees,2010,$100 to $500 million (USD),0,0,134.0,192.0,163.0, CA,San Francisco,13,0,0,0,0,0
38,Momentum Consulting Corporation,$65.00 - $80.00 Per Hour(Employer est.),Sr. Business Data Analyst,"Deerfield Beach, FL","Business Data Analyst
***Hybrid*** not remote
About the Job:
The Business Data Analyst will perform routine business analysis such as elicitation of requirements and creating business/technical documentation, as well as data analysis, data mining, and report development. He/She will be responsible for working with business, power users, and technical teams to help onboard more data and users on the Snowflake Analytics Platform.
Act as a bridge between the technology domain and the business domain of an organization
Researches best practices and supports developing the solutions and recommendations for the current business operations.
Show More
Report",4.4,Private Practice / Firm,51 to 200 Employees,1994,$25 to $100 million (USD),1,1,65.0,80.0,72.5, FL,Deerfield Beach,29,0,0,0,0,0
39,"IXIS, LLC",$83K - $126K (Glassdoor est.),Data Scientist | Remote-US,"Burlington, VT","Overview
IXIS is seeking an energetic, innovative quantitative researcher with fluency in machine learning and classical statistics and a proven ability to execute analytic initiatives to fill the position of Data Scientist for the company. This is a full-time, remote or onsite position in our Burlington, Vermont office. We offer competitive compensation packages including health, dental, short-term and long-term disability and vision insurance, 401(k) with company match, flexible work schedules, and exceptional growth opportunities.

The core responsibilities for this role include working with a team to design sophisticated quantitative solutions—frequently through integration of novel data sources—and executing these solutions programmatically and reproducibly. The ideal candidate will combine deep technical expertise in programmatic statistical analysis and predictive modeling with strong data IQ to create data-driven visuals and narratives that answer client questions.



Show More
Report",3.5,Unknown / Non-Applicable,1 to 50 Employees,Company - Private,-1,0,0,83.0,126.0,104.5, VT,Burlington,-1,0,0,0,0,0
40,LRE Water,$80K - $120K (Employer est.),DATA SCIENTIST / DATABASE PROGRAMMER,"Denver, CO","LRE Water (LRE) is seeking a talented Data Scientist / Database Developer with 6+ years of experience to join our Technology group. This position will report to the CTO and will support the development of cutting edge solutions for turning complex and varied data sources into usable and visual information for our clients. The successful candidate can choose an in-office, hybrid or remote schedule depending on their preference.
Responsibilities:
Building required database and code infrastructure for optimal extraction, transformation and loading of data from various data sources using SQL programming
Creating data “endpoints” for use by our reporting and presentation applications
Reviewing and analyzing data to determine how it must be manipulated to meet the unique needs of the project.
Automating process for collecting, reviewing and storing data.


Show More
Report",-1.0,-1,-1,-1,-1,0,1,80.0,120.0,100.0, CO,Denver,-1,0,0,0,0,0
41,Vetro Tech Inc,$88K - $99K (Employer est.),Data Scientist,"Seattle, WA","We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms

Show More
Report",3.9,Staffing & Subcontracting,Unknown,Company - Public,-1,0,1,88.0,99.0,93.5, WA,Seattle,-1,0,0,0,0,0
42,"WhirlWind Technologies, LLC",$86K - $110K (Employer est.),Jr. Data Scientist,Remote,"Job Title/Level
Jr. Data Scientist

Location
100% Remote

Salary

$86,000-$110,000 Annually





















Show More
Report",4.8,$1 to $5 million (USD),1 to 50 Employees,Company - Public,-1,0,1,86.0,110.0,98.0,Remote,Remote,-1,0,0,0,0,0
45,MatchPointe Group,$120K - $160K (Employer est.),"Sup/Mgr/Sr. Mgr, Analytics & Data Science","Phoenix, AZ","Sup/Mgr/Sr. Mgr, Analytics & Data Science
Full Time
Phoenix, AZ
Manages the day-to-day activities of the Analytics & Data Science department. Serves as the primary contact and resource for staff. Provides oversight, direction, development, problem resolution and leadership for the Analytics & Data Science Team.
The team’s responsibilities include: transforming data into meaningful and actionable information for various customer segments; performing strategic data analysis to support medical management programs, quality and value-based partnerships, and a strategic and predictable corporate provider reimbursement strategy; establishing measurement standards; and identifying previously unknown relationships among the data for analyses of trends and healthcare issues.
Show More
Report",-1.0,$5 to $25 million (USD),1 to 50 Employees,Company - Private,-1,0,1,120.0,160.0,140.0, AZ,Phoenix,-1,0,0,0,0,0
46,Junior Achievement USA,$115K - $125K (Employer est.),Senior Director Data Analytics,Remote,"Job Summary
Leads the data analytics and data warehousing department, overseeing all activities, and ensuring alignment with the business’s vision and objectives. The Sr. Director of Analytics aligns and directs the management, development, and integration of data analytics and business intelligence necessary for supporting the mission, vision strategies, objectives, and goals of the business. Directs and leads projects and initiatives to design and improve business processes to ensure the maximum effectiveness of JA Areas with an emphasis on processes related to new or improved data analysis. Mines and analyzes complex data sets using advanced methods for use in data driven decision making. Confers with the Chief Information Technology Officer and other members of IT leadership to develop enterprise solution strategies.
Essential Functions
Manage the build out of our next generation data hub and analytical system and integrations.
Show More
Report",-1.0,-1,-1,-1,-1,0,1,115.0,125.0,120.0,Remote,Remote,-1,0,0,0,0,0
47,Amex,$90K - $165K (Employer est.),Data Scientist - Global Decision Science,"New York, NY","You Lead the Way. We’ve Got Your Back.
With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities, and each other. Here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally.
At American Express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company’s success. Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to provide the world’s best customer experience every day. And we’ll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong.
Join Team Amex and let's lead the way together
Show More
Report",4.2,Company - Public,10000+ Employees,1850,$10+ billion (USD),0,1,90.0,165.0,127.5, NY,New York,173,0,0,0,0,0
48,Abiomed,$86K - $131K (Glassdoor est.),Data Scientist,"Danvers, MA","Abiomed, part of Johnson & Johnson MedTech, is a leading provider of medical devices that provide circulatory and respiratory support, with a mission of recovering hearts & saving lives. Abiomed’s “Patients First!” culture drives our skilled workforce and strong relationships with clinicians. Our innovative product portfolio and robust pipeline provide us the incredible opportunity to bring lifesaving technology to more patients around the world than ever before. Founded in 1981, Abiomed has a proven track record for growth, integrity and innovation.

I Am Abiomed | I Am Heart Recovery | Patients First!

The Abiomed Applied Research group is a team of scientists and engineers building a new generation of Impella “Smart Pump” devices. We are currently hiring a Data Scientist to lead or contribute to the design and implementation of new machine learning algorithms that guide treatment decisions and improve patient outcomes. These algorithms will play a central role in the pursuit of Abiomed’s mission of recovering heart and saving lives. We are looking for a creative self-starter who thrives in a continuously growing data environment and enjoys a fast-paced, dynamic research group.



Show More
Report",3.6,Company - Public,1001 to 5000 Employees,1981,$100 to $500 million (USD),0,0,86.0,131.0,108.5, MA,Danvers,42,0,0,0,0,0
